Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
29,Cat Barber,PG,27,ATL,3,0,4.3,0,1.3,0,0,0,,0,1.3,0,0,0,1.3,0,0.3,0.7,1,1,0,0,0.3,0.3,0
53,Bogdan Bogdanović,SG,29,ATL,36,26,28.5,4.6,10.9,0.417,2.4,6.5,0.363,2.2,4.4,0.497,0.525,1,1.3,0.8,0.3,3.4,3.8,2.9,0.8,0.2,1.1,2,12.5
91,Clint Capela,C,27,ATL,46,45,28.2,4.9,8.4,0.58,0,0,0,4.9,8.4,0.581,0.58,1.1,2.4,0.455,3.8,8.3,12.2,1.4,0.8,1.3,0.5,2.3,10.9
108,John Collins,PF,24,ATL,49,49,31.5,6.6,12.2,0.541,1.3,3.2,0.395,5.3,9,0.593,0.593,2.6,3.3,0.794,1.8,6.2,8,1.9,0.7,1.1,1.1,3.1,17
114,Sharife Cooper,PG,20,ATL,10,0,3.5,0.3,1.4,0.214,0.1,0.6,0.167,0.2,0.8,0.25,0.25,0,0,,0,0.5,0.5,0.5,0,0,0.5,0.1,0.7
136,Gorgui Dieng,C,32,ATL,35,3,9.2,1.2,2.6,0.473,0.6,1.4,0.42,0.6,1.2,0.537,0.588,0.5,0.7,0.739,0.9,2.2,3.1,0.8,0.3,0.3,0.5,1.3,3.5
176,Danilo Gallinari,PF,33,ATL,43,1,23.2,3.2,7.7,0.421,1.6,4,0.387,1.7,3.7,0.459,0.523,2.2,2.4,0.913,0.5,3.9,4.4,1.4,0.5,0.2,0.6,1.5,10.2
235,Solomon Hill,PF,30,ATL,13,1,10.7,0.2,1.5,0.15,0.2,1,0.154,0.1,0.5,0.143,0.2,0,0,,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6
249,Kevin Huerter,SG,23,ATL,47,33,29.1,4.5,9.8,0.463,1.9,5,0.377,2.6,4.8,0.554,0.56,0.6,0.7,0.8,0.4,2.7,3.2,2.8,0.6,0.3,1.3,2.2,11.6
252,De'Andre Hunter,SF,24,ATL,26,25,28.7,4.8,10.5,0.453,1.4,3.5,0.407,3.3,7,0.475,0.52,2.1,3,0.701,0.4,3,3.4,1.3,0.6,0.4,1.5,2.8,13
260,Wes Iwundu,SF,27,ATL,3,1,27.3,2.7,6,0.444,1,1.7,0.6,1.7,4.3,0.385,0.528,1,1.3,0.75,1,3.3,4.3,0,0.3,0,0.3,2.7,7.3
276,Jalen Johnson,PF,20,ATL,13,0,4.5,0.7,1.5,0.474,0.2,0.5,0.429,0.5,0.9,0.5,0.553,0.3,0.5,0.667,0,1.2,1.2,0.1,0,0,0.2,0.2,1.9
334,Timothé Luwawu-Cabarrot,SF,26,ATL,34,12,13,1.4,3.6,0.387,0.9,2.5,0.36,0.5,1.1,0.447,0.512,0.5,0.6,0.85,0.2,1.1,1.4,0.8,0.4,0.1,0.4,1.4,4.2
351,Skylar Mays,SG,24,ATL,21,5,9.4,1.5,2.9,0.517,0.4,1.2,0.32,1.1,1.7,0.657,0.583,0.4,0.4,0.889,0.2,1,1.2,0.8,0.3,0,0.4,0.3,3.7
414,Onyeka Okongwu,C,21,ATL,22,6,22.1,3.6,4.9,0.731,0,0,,3.6,4.9,0.731,0.731,1.8,2.4,0.736,2.2,3.5,5.7,1,0.7,1.5,1.1,3.3,9
417,Cameron Oliver,SF,25,ATL,2,0,21.5,5,7.5,0.667,0.5,1.5,0.333,4.5,6,0.75,0.7,1,1.5,0.667,1,2,3,1.5,0.5,0.5,0,2.5,11.5
574,Lou Williams,PG,35,ATL,37,0,14.6,2.4,6.1,0.398,0.8,2.1,0.354,1.7,4,0.422,0.46,1.3,1.5,0.889,0.3,1.3,1.6,2,0.5,0.1,0.8,1,6.9
584,Delon Wright,SG,29,ATL,49,5,18.2,1.6,3.5,0.439,0.5,1.4,0.388,1,2.2,0.472,0.514,0.7,0.8,0.825,0.7,2,2.7,2.6,1,0.2,0.7,0.7,4.3
588,Trae Young,PG,23,ATL,49,49,34.5,9.4,20.6,0.458,2.9,7.8,0.379,6.5,12.8,0.506,0.529,6,6.8,0.894,0.6,3.3,3.9,9.3,1,0.1,4.1,1.6,27.8
460,Cam Reddish,SF,22,ATL,40,7,21.7,3.7,9.2,0.398,1.5,4.1,0.364,2.2,5.1,0.426,0.48,2.2,2.4,0.905,0.5,1.8,2.3,1,1,0.3,1.2,1.2,11
75,Jaylen Brown,SF,25,BOS,42,42,34.2,8.7,18.9,0.461,2.7,7.6,0.349,6,11.3,0.537,0.531,3.8,4.8,0.783,0.8,5.7,6.5,3.2,1.1,0.4,2.9,2.6,23.9
163,Bruno Fernando,C,23,BOS,20,0,2.9,0.4,0.7,0.5,0.1,0.1,1,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0,0.2,0.3,0.3,1
173,Enes Freedom,C,29,BOS,35,1,11.7,1.5,2.8,0.526,0.1,0.1,0.4,1.4,2.6,0.533,0.536,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7
223,Sam Hauser,SF,24,BOS,10,0,4.1,0.4,1.4,0.286,0.4,1.4,0.286,0,0,,0.429,0,0,,0.1,0.5,0.6,0.1,0.1,0.1,0,0.4,1.2
244,Al Horford,C,35,BOS,47,47,28.4,3.8,8.7,0.435,1.2,4,0.293,2.6,4.7,0.557,0.502,1.3,1.6,0.84,1.6,5.9,7.5,3.4,0.6,1.3,1,1.9,10
278,Joe Johnson,SG,40,BOS,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2
316,Romeo Langford,SG,22,BOS,44,5,16.5,1.8,4.2,0.429,0.7,1.9,0.349,1.1,2.3,0.495,0.508,0.5,0.8,0.588,0.7,1.7,2.4,0.4,0.5,0.4,0.4,1,4.7
370,C.J. Miles,SG,34,BOS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
398,Aaron Nesmith,SF,22,BOS,39,1,10.2,1.2,3.3,0.354,0.4,2.1,0.207,0.7,1.2,0.604,0.419,0.3,0.4,0.813,0.3,1.4,1.6,0.3,0.3,0.1,0.5,1.2,3.1
427,Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,1.8,0.455,0.579,0.8,0.8,1,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
453,Payton Pritchard,SG,24,BOS,45,2,12.2,1.8,4.6,0.385,1,2.8,0.371,0.7,1.8,0.407,0.498,0.3,0.3,1,0.3,1.3,1.6,1.7,0.2,0.1,0.6,0.9,4.8
465,Josh Richardson,SG,28,BOS,44,0,24.7,3.5,7.8,0.443,1.4,3.5,0.397,2,4.3,0.481,0.534,1.4,1.6,0.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7
483,Dennis Schröder,SG,28,BOS,49,25,29.2,5.2,11.9,0.44,1.4,3.9,0.349,3.9,8,0.485,0.497,2.5,3,0.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4
498,Marcus Smart,PG,27,BOS,47,47,33,4,9.8,0.414,1.5,4.8,0.316,2.5,5,0.509,0.491,1.9,2.4,0.791,0.6,3.3,4,5.4,1.8,0.3,2.1,2.5,11.5
515,Jayson Tatum,SF,23,BOS,52,52,36,8.9,20.7,0.431,2.8,8.4,0.328,6.2,12.3,0.501,0.497,5,5.9,0.84,1.2,7.2,8.4,4.1,1,0.7,2.9,2.4,25.5
522,Brodric Thomas,SG,25,BOS,7,0,4,0.1,1.3,0.111,0,0.9,0,0.1,0.4,0.333,0.111,0.3,0.3,1,0.3,0.4,0.7,0.7,0,0,0.4,0.1,0.6
572,Grant Williams,PF,23,BOS,51,13,22.8,2.5,5.1,0.483,1.5,3.4,0.429,1,1.6,0.595,0.627,0.8,0.9,0.896,0.8,2.5,3.3,1.1,0.5,0.7,0.8,2.2,7.2
576,Robert Williams,C,24,BOS,45,45,29.7,4.4,5.9,0.737,0,0,0,4.4,5.9,0.74,0.737,1.1,1.6,0.708,3.8,5.6,9.5,2,0.9,2.2,1.2,2.1,9.8
5,LaMarcus Aldridge,C,36,BRK,36,11,22.9,5.8,10.4,0.555,0.3,1.1,0.316,5.4,9.3,0.582,0.571,1.6,1.9,0.853,1.5,4.1,5.6,0.9,0.4,1.1,0.9,1.8,13.4
43,DeAndre' Bembry,SF,27,BRK,48,20,19.8,2.5,4.4,0.568,0.3,0.8,0.417,2.2,3.7,0.599,0.603,0.4,0.7,0.6,0.8,2.4,3.2,1.3,1,0.5,0.6,2.2,5.8
71,Bruce Brown,SF,25,BRK,46,19,20.4,2.5,5.3,0.475,0.2,0.8,0.297,2.3,4.5,0.507,0.498,0.7,0.9,0.738,1.2,3,4.2,1.2,0.9,0.5,0.7,2.3,6
93,Jevon Carter,PG,26,BRK,42,1,11.9,1.2,3.6,0.336,0.9,2.6,0.345,0.3,1,0.31,0.461,0.1,0.2,0.75,0.2,1.2,1.4,1,0.3,0.2,0.5,1,3.5
106,Nic Claxton,C,22,BRK,25,18,21.2,4,6.2,0.639,0,0,,4,6.2,0.639,0.639,1.2,2.1,0.566,2.2,3.4,5.6,0.8,0.5,1.1,0.7,2.2,9.1
150,David Duke Jr.,PG,22,BRK,16,7,17.7,2.1,5.8,0.366,0.5,1.9,0.258,1.6,3.9,0.419,0.409,1,1.2,0.842,1.8,2,3.8,0.9,0.7,0.4,0.5,1.8,5.8
151,Kevin Durant,PF,33,BRK,36,36,36.5,10.5,20.3,0.52,1.9,5,0.372,8.7,15.3,0.568,0.566,6.3,7.1,0.894,0.6,6.9,7.4,5.8,0.8,0.9,3,1.9,29.3
154,Kessler Edwards,SF,21,BRK,24,17,25.4,2.7,6.5,0.419,1.2,3.2,0.364,1.5,3.3,0.474,0.51,0.3,0.3,0.75,1.1,3.3,4.4,0.7,0.8,0.7,1.1,2,6.8
204,Blake Griffin,PF,32,BRK,44,23,18.8,2.6,6.2,0.418,0.6,2.8,0.228,2,3.4,0.573,0.469,1.1,1.5,0.742,1.2,3.4,4.6,2.2,0.5,0.3,0.5,1.8,6.9
212,James Harden,PG,32,BRK,44,44,37,6.6,16,0.414,2.3,7,0.332,4.3,9.1,0.476,0.486,6.9,8,0.869,1,7,8,10.2,1.3,0.7,4.8,2.4,22.5
217,Joe Harris,SF,30,BRK,14,14,30.2,4,8.9,0.452,2.9,6.3,0.466,1.1,2.6,0.417,0.617,0.4,0.4,0.833,0.4,3.6,4,1,0.5,0.1,1.1,2.2,11.3
219,Shaquille Harrison,SG,28,BRK,2,0,11.5,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0.5,1.5,2,1.5,0.5,0.5,1,1.5,2
259,Kyrie Irving,PG,29,BRK,13,13,35.8,9,19.9,0.452,2.5,6.7,0.368,6.5,13.2,0.494,0.514,3.3,3.6,0.915,0.6,4.2,4.8,5.4,1,0.6,2.5,2.4,23.8
277,James Johnson,PF,34,BRK,40,5,19.1,2.5,5.1,0.485,0.3,1.2,0.271,2.2,3.9,0.551,0.517,0.4,0.9,0.457,1,2.5,3.5,1.9,0.5,0.4,0.7,2.4,5.7
371,Patty Mills,PG,33,BRK,54,37,30.9,4.8,11,0.433,3.2,7.6,0.422,1.6,3.4,0.457,0.579,0.7,0.8,0.884,0.2,2,2.2,2.6,0.7,0.3,0.9,1.4,13.5
372,Paul Millsap,PF,36,BRK,24,0,11.3,1.3,3.5,0.376,0.3,1.1,0.222,1.1,2.4,0.448,0.412,0.5,0.7,0.706,1.2,2.5,3.7,1,0.2,0.5,0.5,2,3.4
490,Day'Ron Sharpe,PF,20,BRK,27,8,12.7,2.7,4.9,0.556,0,0.1,0.25,2.7,4.8,0.566,0.56,0.8,1.3,0.618,2.7,2.5,5.2,0.4,0.3,0.6,1,2,6.3
523,Cam Thomas,SG,20,BRK,44,2,18.7,3.5,7.9,0.447,0.8,2.9,0.273,2.7,5,0.548,0.497,1.1,1.4,0.787,0.2,2.3,2.5,1.2,0.5,0.2,0.8,0.9,8.9
25,Lonzo Ball,PG,24,CHI,35,35,34.6,4.6,10.9,0.423,3.1,7.4,0.423,1.5,3.5,0.423,0.567,0.6,0.8,0.75,1,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13
42,Jordan Bell,C,27,CHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,1,0,0,2,0
63,Tony Bradley,C,24,CHI,41,7,11.6,1.5,2.6,0.581,0,0,,1.5,2.6,0.581,0.581,0.3,0.5,0.7,1.3,2.5,3.8,0.5,0.2,0.7,0.6,1.3,3.3
78,Troy Brown Jr.,SF,22,CHI,44,5,17.8,1.8,4.3,0.431,0.7,2.1,0.352,1.1,2.2,0.505,0.516,0.4,0.6,0.76,0.7,2.6,3.3,1.2,0.6,0.1,0.5,1.1,4.8
95,Alex Caruso,SG,27,CHI,28,9,27.7,2.8,6.5,0.429,1.1,3.1,0.345,1.7,3.4,0.505,0.511,1.7,2.1,0.814,0.9,3,3.9,3.9,1.9,0.4,1.4,2.4,8.4
113,Tyler Cook,PF,24,CHI,18,2,10.7,1.2,2,0.611,0,0,,1.2,2,0.611,0.611,1.1,1.7,0.645,0.9,1.9,2.8,0.2,0.2,0.2,0.4,1.3,3.6
132,DeMar DeRozan,PF,32,CHI,51,51,35.4,10,19.5,0.51,0.6,1.9,0.344,9.3,17.7,0.527,0.526,6.8,7.9,0.859,0.9,4.4,5.2,5.1,0.9,0.3,2.4,2.2,27.4
141,Ayo Dosunmu,SG,22,CHI,50,16,24.7,3.1,6,0.517,0.9,2.2,0.409,2.2,3.8,0.58,0.592,0.7,1.1,0.661,0.3,2.3,2.6,2.7,0.6,0.4,1.2,2.1,7.8
143,Devon Dotson,PG,22,CHI,11,0,7.7,1,2.1,0.478,0.2,0.8,0.222,0.8,1.3,0.643,0.522,0.5,0.8,0.556,0.1,0.7,0.8,1.4,0.1,0,0.5,1,2.6
201,Javonte Green,SF,28,CHI,39,28,23.6,2.6,4.9,0.526,0.4,1.4,0.283,2.2,3.6,0.619,0.565,1.5,1.8,0.819,1.6,2.7,4.2,1.1,0.9,0.6,0.5,2.2,7.1
286,Derrick Jones Jr.,PF,24,CHI,31,8,17.2,2.3,3.9,0.582,0.5,1.2,0.405,1.8,2.7,0.659,0.643,1.3,1.5,0.848,1.2,2.2,3.4,0.5,0.5,0.7,0.5,2.3,6.3
317,Zach LaVine,SF,26,CHI,46,46,34.5,8.8,18.2,0.484,2.9,7.2,0.404,5.9,11,0.536,0.564,4.3,4.9,0.876,0.3,4.6,4.9,4.4,0.6,0.4,2.7,1.7,24.9
353,Mac McClung,PG,23,CHI,1,0,3,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,1,0,2
362,Alfonzo McKinnie,SF,29,CHI,17,3,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.9,2,0.441,0.467,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5
493,Marko Simonovic,C,22,CHI,9,0,3.9,0.4,1.7,0.267,0.1,0.6,0.2,0.3,1.1,0.3,0.3,0.9,1.2,0.727,0.6,0.6,1.1,0,0.1,0.1,0.2,0.7,1.9
525,Matt Thomas,SG,27,CHI,32,0,13,1.6,3.8,0.413,1,2.6,0.402,0.5,1.2,0.436,0.55,0.4,0.5,0.765,0.1,1.3,1.4,0.6,0.2,0.1,0.2,0.5,4.6
546,Nikola Vučević,C,31,CHI,48,48,33.7,7.4,15.9,0.466,1.6,4.8,0.329,5.8,11.1,0.525,0.516,1.2,1.6,0.727,2,9.6,11.7,3.6,1,1.2,1.8,2.5,17.5
564,Coby White,PG,21,CHI,35,12,27.5,4.7,10.7,0.437,2.1,5.7,0.362,2.6,5,0.523,0.533,1.5,1.8,0.841,0.3,2.5,2.7,2.6,0.5,0.3,1.2,2.2,12.9
575,Patrick Williams,PF,20,CHI,5,5,25,2.6,4.6,0.565,0.6,1.2,0.5,2,3.4,0.588,0.63,0.8,0.8,1,0.2,2,2.2,0.6,0.6,0.4,0.4,1.8,6.6
24,LaMelo Ball,PG,20,CHO,49,49,32.4,7.1,16.8,0.423,2.6,7.1,0.361,4.5,9.7,0.468,0.499,3,3.5,0.865,1.6,5.5,7.1,7.5,1.6,0.4,3.1,3.1,19.8
61,James Bouknight,SG,21,CHO,25,0,10,1.7,4.6,0.368,0.6,1.6,0.341,1.1,2.9,0.384,0.43,0.9,1.1,0.852,0.7,0.8,1.5,0.8,0.2,0,0.4,0.9,4.8
66,Miles Bridges,PF,23,CHO,54,54,35.9,7.4,15.3,0.485,1.8,5.9,0.31,5.6,9.4,0.593,0.544,3.2,4,0.797,1.2,6,7.1,3.6,1.1,0.9,1.8,2.6,19.8
92,Vernon Carey Jr.,C,20,CHO,4,1,4.3,0.8,1.5,0.5,0,0,,0.8,1.5,0.5,0.5,0.5,0.8,0.667,0.8,0.5,1.3,0,0.3,0,0.3,0.3,2
226,Gordon Hayward,SF,31,CHO,48,48,32.2,5.9,12.7,0.46,1.8,4.5,0.39,4.1,8.2,0.499,0.529,2.6,3.1,0.846,0.8,3.8,4.6,3.6,1,0.5,1.7,1.8,16.1
289,Kai Jones,C,21,CHO,16,0,2.9,0.4,0.6,0.667,0.1,0.1,0.5,0.3,0.4,0.714,0.722,0.1,0.3,0.25,0.1,0.4,0.5,0.3,0,0,0.3,0.3,0.9
310,Arnoldas Kulboka,SF,24,CHO,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
324,Scottie Lewis,SG,21,CHO,2,0,3.5,0,0,,0,0,,0,0,,,0.5,1,0.5,0,0,0,0.5,0.5,0,0,0,0.5
344,Cody Martin,SF,26,CHO,49,11,27.2,2.9,6.5,0.454,1,2.4,0.41,2,4.1,0.48,0.53,1.1,1.7,0.671,1.2,3,4.2,2.6,1.3,0.5,0.9,1.7,8
357,Jalen McDaniels,SF,24,CHO,39,2,17.6,2.5,5.1,0.492,0.8,2.2,0.372,1.7,2.8,0.586,0.574,0.8,1.2,0.674,0.7,2.7,3.5,1.1,0.5,0.4,0.8,1.8,6.6
423,Kelly Oubre Jr.,SF,26,CHO,50,11,28.5,6,13.6,0.442,2.8,8,0.351,3.2,5.6,0.573,0.546,1.8,2.6,0.688,1.1,3,4.1,1.2,1.2,0.4,1,2.5,16.6
437,Mason Plumlee,C,31,CHO,47,47,25.4,3,4.7,0.631,0,0,0,3,4.7,0.636,0.631,0.7,2.2,0.34,2.5,5.3,7.8,2.9,1,0.7,1.3,3,6.7
464,Nick Richards,C,24,CHO,40,5,8.5,1.4,2,0.679,0,0,,1.4,2,0.679,0.679,0.8,1,0.732,0.8,1.3,2,0.3,0.2,0.5,0.5,1.2,3.5
475,Terry Rozier,SG,27,CHO,47,47,33.3,6.8,15.7,0.43,3,8.1,0.366,3.8,7.6,0.497,0.524,1.9,2.3,0.806,0.7,3.5,4.2,4,1.1,0.3,1.3,1.4,18.4
500,Ish Smith,PG,33,CHO,37,1,13.8,2,5,0.395,0.3,0.7,0.4,1.7,4.3,0.394,0.422,0.3,0.5,0.632,0.3,1.2,1.5,2.6,0.5,0.3,1,0.9,4.5
528,JT Thor,PF,19,CHO,15,0,8.5,0.7,2.1,0.344,0.3,1.3,0.25,0.4,0.8,0.5,0.422,0.5,0.7,0.7,0.4,0.9,1.3,0.5,0.3,0.4,0.3,0.9,2.3
557,P.J. Washington,PF,23,CHO,39,4,24.6,3.5,7.8,0.446,1.8,4.7,0.386,1.7,3.1,0.537,0.562,1.1,1.5,0.729,1.3,4.2,5.5,2,0.7,0.9,1.3,2.5,9.9
8,Jarrett Allen,C,23,CLE,47,47,32.6,6.6,9.9,0.667,0,0.2,0.1,6.6,9.7,0.679,0.668,3,4.3,0.686,3.6,7.6,11.2,1.8,0.8,1.4,1.8,1.8,16.2
126,Ed Davis,C,32,CLE,18,3,7.7,0.5,0.8,0.643,0,0,,0.5,0.8,0.643,0.643,0.2,0.4,0.375,0.4,2,2.4,0.2,0.2,0.4,0.3,1.4,1.2
161,Tacko Fall,C,26,CLE,11,1,5.4,0.5,1.1,0.417,0,0,,0.5,1.1,0.417,0.417,0.2,0.6,0.286,0.6,1.5,2.1,0.2,0,0.5,0.3,0.3,1.1
178,Darius Garland,PG,22,CLE,45,45,34.6,7.6,16,0.474,2.5,6.8,0.375,5.1,9.3,0.547,0.553,2.2,2.4,0.907,0.5,2.8,3.3,8.1,1.2,0.1,3.7,1.7,19.9
190,Brandon Goodwin,PG,26,CLE,15,3,16.7,2.2,5.7,0.388,0.8,2.1,0.375,1.4,3.5,0.396,0.459,0.5,0.9,0.5,0.5,2,2.5,3.3,1.1,0,1.1,1.5,5.7
332,Kevin Love,PF,33,CLE,47,2,22.3,4.6,10.7,0.427,2.5,6.4,0.393,2.1,4.3,0.478,0.545,2.8,3.2,0.855,1.2,6.3,7.5,2.2,0.4,0.2,1.3,1.1,14.4
341,Lauri Markkanen,PF,24,CLE,38,38,30.2,4.9,11.3,0.436,2,5.9,0.342,2.9,5.4,0.539,0.526,1.7,1.9,0.863,1.1,4.2,5.3,1.5,0.8,0.6,0.8,1.8,13.6
376,Evan Mobley,PF,20,CLE,47,47,34.2,6.1,12.2,0.498,0.4,1.4,0.277,5.7,10.8,0.527,0.514,2.4,3.6,0.667,1.9,6.3,8.2,2.6,0.7,1.7,1.9,2,14.9
397,RJ Nembhard Jr.,SG,22,CLE,7,0,6.3,0.7,1.6,0.455,0,0.1,0,0.7,1.4,0.5,0.455,0.1,0.3,0.5,0,0.3,0.3,1.4,0,0,0.3,0.3,1.6
400,Malik Newman,PG,24,CLE,1,0,8,3,5,0.6,0,1,0,3,4,0.75,0.6,2,2,1,0,1,1,1,0,0,1,0,8
415,Isaac Okoro,SF,21,CLE,40,34,28.7,3.3,7.1,0.465,0.9,2.7,0.312,2.4,4.3,0.561,0.525,1.7,2.2,0.764,1.1,2.2,3.3,1.8,0.8,0.3,1,2.5,9.1
421,Cedi Osman,SF,26,CLE,43,3,23.2,3.8,9.1,0.419,2,5.7,0.358,1.8,3.4,0.524,0.532,1.2,1.8,0.633,0.4,1.9,2.3,2,0.9,0.2,0.9,1.9,10.8
426,Kevin Pangos,PG,29,CLE,24,3,6.9,0.6,1.9,0.326,0.3,1.1,0.231,0.4,0.8,0.45,0.391,0.1,0.2,0.75,0.1,0.4,0.5,1.3,0.1,0,0.3,0.5,1.6
476,Ricky Rubio,PG,31,CLE,34,8,28.5,4.4,12.1,0.363,1.7,5.1,0.339,2.6,7,0.38,0.434,2.6,3,0.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1
484,Tre Scott,SF,25,CLE,2,0,5.5,1.5,3,0.5,0,0.5,0,1.5,2.5,0.6,0.5,0,0,,0.5,0.5,1,0,0.5,0.5,0,1,3
488,Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,0.45,1,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0,2.8,2.3,16
508,Lamar Stevens,PF,24,CLE,39,8,14.8,2.1,4.5,0.477,0.3,1.1,0.302,1.8,3.4,0.534,0.514,0.6,1,0.625,0.7,1.6,2.3,0.6,0.5,0.2,0.6,1.5,5.2
547,Dean Wade,PF,25,CLE,40,22,19.1,1.9,4.2,0.449,1,2.8,0.366,0.9,1.4,0.618,0.572,0.4,0.6,0.609,0.6,2.4,3,1.1,0.6,0.1,0.4,1.6,5.1
579,Dylan Windler,SF,25,CLE,37,0,9.3,0.9,2.1,0.429,0.6,1.5,0.389,0.3,0.6,0.522,0.565,0.2,0.2,0.778,0.4,1.3,1.7,0.7,0.2,0.1,0.4,1,2.5
76,Moses Brown,C,22,DAL,26,1,6.5,1,1.9,0.54,0,0,,1,1.9,0.54,0.54,1,1.7,0.628,0.6,1.7,2.3,0,0.1,0.3,0.5,1.1,3.1
